,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3
109,Lesotho,2020-06-09 07:33:02,-29.609988,28.233608,4.0,0.0,2.0,2.0,0.1867193962241604,,,0.0,426,LSO
110,Liberia,2020-06-09 07:33:02,6.4280550000000005,-9.429499,370.0,30.0,195.0,145.0,7.3156114951587465,,,8.108108108108109,430,LBR
111,Libya,2020-06-09 07:33:02,26.3351,17.228331,332.0,5.0,57.0,270.0,4.831700378691794,,,1.5060240963855422,434,LBY
112,Liechtenstein,2020-06-09 07:33:02,47.14,9.55,82.0,1.0,55.0,26.0,215.0142905839473,,,1.2195121951219512,438,LIE
113,Lithuania,2020-06-09 07:33:02,55.1694,23.8813,1720.0,71.0,1331.0,318.0,63.18207715486699,,,4.127906976744186,440,LTU
114,Luxembourg,2020-06-09 07:33:02,49.8153,6.1296,4040.0,110.0,3901.0,29.0,645.3921556097997,,,2.722772277227723,442,LUX
115,MS Zaandam,2020-06-09 07:33:02,,,9.0,2.0,,7.0,,,,22.222222222222218,8888,
116,Madagascar,2020-06-09 07:33:02,-18.766947,46.869107,1094.0,9.0,254.0,831.0,3.950739407603599,,,0.8226691042047533,450,MDG
117,Malawi,2020-06-09 07:33:02,-13.254307999999998,34.301525,443.0,4.0,55.0,384.0,2.3157398958857978,,,0.9029345372460496,454,MWI
118,Malaysia,2020-06-09 07:33:02,4.210483999999999,101.975766,8329.0,117.0,6694.0,1518.0,25.73379631303197,,,1.4047304598391164,458,MYS
119,Maldives,2020-06-09 07:33:02,3.2028,73.2207,1916.0,8.0,925.0,983.0,354.45904296058404,,,0.4175365344467641,462,MDV
120,Mali,2020-06-09 07:33:02,17.570692,-3.996166000000001,1547.0,92.0,916.0,539.0,7.6391915513208,,,5.9469941822883,466,MLI
121,Malta,2020-06-09 07:33:02,35.9375,14.3754,630.0,9.0,596.0,25.0,142.68275282591117,,,1.4285714285714286,470,MLT
122,Mauritania,2020-06-09 07:33:02,21.0079,-10.9408,1104.0,59.0,119.0,926.0,23.74367158028759,,,5.344202898550725,478,MRT
123,Mauritius,2020-06-09 07:33:02,-20.348404,57.552152,337.0,10.0,324.0,3.0,26.498564595558783,,,2.967359050445104,480,MUS
124,Moldova,2020-06-09 07:33:02,47.4116,28.3699,9807.0,353.0,5738.0,3716.0,243.11080691617644,,,3.5994697664933213,498,MDA
125,Monaco,2020-06-09 07:33:02,43.7333,7.4167,99.0,4.0,93.0,2.0,252.26786260320046,,,4.040404040404041,492,MCO
126,Mongolia,2020-06-09 07:33:02,46.8625,103.8467,194.0,0.0,85.0,109.0,5.917715688535371,,,0.0,496,MNG
127,Montenegro,2020-06-09 07:33:02,42.708678000000006,19.37439,324.0,9.0,315.0,0.0,51.58726367778977,,,2.7777777777777777,499,MNE
128,Morocco,2020-06-09 07:33:02,31.7917,-7.0926,8302.0,208.0,7408.0,686.0,22.492209410651554,,,2.505420380631173,504,MAR
129,Mozambique,2020-06-09 07:33:02,-18.665695,35.529562,433.0,2.0,131.0,300.0,1.3853590583525712,,,0.4618937644341801,508,MOZ
130,Namibia,2020-06-09 07:33:02,-22.9576,18.4904,31.0,0.0,16.0,15.0,1.220032460734633,,,0.0,516,NAM
131,Nepal,2020-06-09 07:33:02,28.1667,84.25,3762.0,14.0,488.0,3260.0,12.911503552482483,,,0.3721424774056353,524,NPL
132,New Zealand,2020-06-09 07:33:02,-40.9006,174.886,1504.0,22.0,1482.0,0.0,31.188870384321948,,,1.4627659574468086,554,NZL
133,Nicaragua,2020-06-09 07:33:02,12.865416,-85.207229,1118.0,46.0,370.0,702.0,16.876607844090337,,,4.114490161001789,558,NIC
134,Niger,2020-06-09 07:33:02,17.607789,8.081666,973.0,65.0,869.0,39.0,4.019558934169952,,,6.680369989722508,562,NER
135,Nigeria,2020-06-09 07:33:02,9.082,8.6753,12801.0,361.0,4040.0,8400.0,6.209869819909942,,,2.8200921802984142,566,NGA
136,North Macedonia,2020-06-09 07:33:02,41.6086,21.7453,3152.0,156.0,1653.0,1343.0,151.2926110455126,,,4.949238578680203,807,MKD
137,Oman,2020-06-09 07:33:02,21.512583,55.92325500000001,17486.0,81.0,3793.0,13612.0,342.4181386442936,,,0.4632277250371726,512,OMN
138,Pakistan,2020-06-09 07:33:02,30.3753,69.3451,108317.0,2172.0,35018.0,71127.0,49.03610709780594,,,2.0052254032146384,586,PAK
139,Panama,2020-06-09 07:33:02,8.538,-80.7821,16854.0,398.0,10401.0,6055.0,390.61196337786873,,,2.3614572208377838,591,PAN
140,Papua New Guinea,2020-06-09 07:33:02,-6.314993,143.95555,8.0,0.0,8.0,0.0,0.08941517668383027,,,0.0,598,PNG
141,Paraguay,2020-06-09 07:33:02,-23.4425,-58.4438,1145.0,11.0,603.0,531.0,16.053209730628538,,,0.960698689956332,600,PRY
142,Philippines,2020-06-09 07:33:02,12.879721,121.774017,22474.0,1011.0,4637.0,16826.0,20.509013941594027,,,4.498531636557799,608,PHL
143,Poland,2020-06-09 07:33:02,51.9194,19.1451,27160.0,1166.0,13196.0,12798.0,71.76337217037037,,,4.293078055964654,616,POL
144,Portugal,2020-06-09 07:33:02,39.3999,-8.2245,34885.0,1485.0,21156.0,12244.0,342.12025509804295,,,4.256843915723089,620,PRT
145,Qatar,2020-06-09 07:33:02,25.3548,51.1839,70158.0,57.0,45935.0,24166.0,2435.145397874393,,,0.08124518942957325,634,QAT
146,Romania,2020-06-09 07:33:02,45.9432,24.9668,20604.0,1343.0,14826.0,4435.0,107.1023005786248,,,6.518151815181517,642,ROU
147,Rwanda,2020-06-09 07:33:02,-1.9403,29.8739,451.0,2.0,297.0,152.0,3.4820315206464008,,,0.4434589800443459,646,RWA
148,Saint Kitts and Nevis,2020-06-09 07:33:02,17.357822,-62.782998,15.0,0.0,15.0,0.0,28.19972928259889,,,0.0,659,KNA
149,Saint Lucia,2020-06-09 07:33:02,13.9094,-60.9789,19.0,0.0,18.0,1.0,10.346949555898034,,,0.0,662,LCA
150,Saint Vincent and the Grenadines,2020-06-09 07:33:02,12.9843,-61.2872,27.0,0.0,16.0,11.0,24.335944189567996,,,0.0,670,VCT
151,San Marino,2020-06-09 07:33:02,43.9424,12.4578,687.0,42.0,478.0,167.0,2024.2795686251397,,,6.11353711790393,674,SMR
152,Sao Tome and Principe,2020-06-09 07:33:02,0.18636,6.613081,513.0,12.0,68.0,433.0,234.07449318081225,,,2.3391812865497075,678,STP
153,Saudi Arabia,2020-06-09 07:33:02,23.885942,45.079162,105283.0,746.0,74524.0,30013.0,302.41685015916215,,,0.7085664352269597,682,SAU
154,Senegal,2020-06-09 07:33:02,14.4974,-14.4524,4427.0,49.0,2699.0,1679.0,26.43943208076001,,,1.1068443641292072,686,SEN
155,Serbia,2020-06-09 07:33:02,44.0165,21.0059,11896.0,250.0,11189.0,457.0,136.1508096830053,,,2.101546738399462,688,SRB
156,Seychelles,2020-06-09 07:33:02,-4.6796,55.492,11.0,0.0,11.0,0.0,11.185682326621924,,,0.0,690,SYC
157,Sierra Leone,2020-06-09 07:33:02,8.460555000000001,-11.779889,1001.0,49.0,611.0,341.0,12.548600755799338,,,4.895104895104895,694,SLE
158,Singapore,2020-06-09 07:33:02,1.2833,103.8333,38296.0,25.0,25368.0,12903.0,654.5940981580054,,,0.06528096929183204,702,SGP
159,Slovakia,2020-06-09 07:33:02,48.669,19.699,1530.0,28.0,1396.0,106.0,28.023810348039238,,,1.830065359477124,703,SVK
160,Slovenia,2020-06-09 07:33:02,46.1512,14.9955,1485.0,109.0,1359.0,17.0,71.43090779303989,,,7.34006734006734,705,SVN
161,Somalia,2020-06-09 07:33:02,5.152149,46.199616,2368.0,84.0,470.0,1814.0,14.89943604250341,,,3.5472972972972974,706,SOM
162,South Africa,2020-06-09 07:33:02,-30.5595,22.9375,50879.0,1080.0,26099.0,23700.0,85.78675401530535,,,2.1226832288370447,710,ZAF
163,South Sudan,2020-06-09 07:33:02,6.877000000000002,31.307,1604.0,19.0,15.0,1570.0,14.32945178501284,,,1.1845386533665836,728,SSD
164,Sri Lanka,2020-06-09 07:33:02,7.873054,80.77179699999998,1857.0,11.0,1057.0,789.0,8.672200623445763,,,0.5923532579429187,144,LKA
165,Sudan,2020-06-09 07:33:02,12.8628,30.2176,6242.0,372.0,2059.0,3811.0,14.235128982423856,,,5.959628324255045,729,SDN
166,Suriname,2020-06-09 07:33:02,3.9193,-56.0278,130.0,2.0,9.0,119.0,22.160324836269293,,,1.5384615384615383,740,SUR
167,Syria,2020-06-09 07:33:02,34.802075,38.99681500000001,144.0,6.0,62.0,76.0,0.8228262516087254,,,4.166666666666667,760,SYR
168,Taiwan*,2020-06-09 07:33:02,23.7,121.0,443.0,7.0,430.0,6.0,1.8600335267894164,,,1.580135440180587,158,TWN
169,Tajikistan,2020-06-09 07:33:02,38.861034,71.276093,4609.0,48.0,2763.0,1798.0,48.32431328414298,,,1.0414406595790844,762,TJK
170,Tanzania,2020-06-09 07:33:02,-6.369028,34.888822,509.0,21.0,183.0,305.0,0.852107987092757,,,4.12573673870334,834,TZA
171,Thailand,2020-06-09 07:33:02,15.870032,100.992541,3121.0,58.0,2973.0,90.0,4.471348114178488,,,1.8583787247677024,764,THA
172,Timor-Leste,2020-06-09 07:33:02,-8.874217,125.727539,24.0,0.0,24.0,0.0,1.8203303596214317,,,0.0,626,TLS
173,Togo,2020-06-09 07:33:02,8.6195,0.8248,497.0,13.0,251.0,233.0,6.003331184454828,,,2.6156941649899395,768,TGO
174,Trinidad and Tobago,2020-06-09 07:33:02,10.6918,-61.2225,117.0,8.0,109.0,0.0,8.360182380594088,,,6.837606837606838,780,TTO
175,Tunisia,2020-06-09 07:33:02,33.886917,9.537499,1087.0,49.0,982.0,56.0,9.197352854623103,,,4.507819687212512,788,TUN
176,Turkey,2020-06-09 07:33:02,38.9637,35.2433,171121.0,4711.0,141380.0,25030.0,202.89648212494453,,,2.7530227149210207,792,TUR
177,Uganda,2020-06-09 07:33:02,1.373333,32.290275,646.0,0.0,103.0,543.0,1.412299687370193,,,0.0,800,UGA
178,United Arab Emirates,2020-06-09 07:33:02,23.424076,53.847818,39376.0,281.0,22275.0,16820.0,398.12343282374826,,,0.7136326696464852,784,ARE
179,Uruguay,2020-06-09 07:33:02,-32.5228,-55.7658,845.0,23.0,738.0,84.0,24.32545793034398,,,2.7218934911242605,858,URY
180,Uzbekistan,2020-06-09 07:33:02,41.377491,64.585262,4448.0,18.0,3357.0,1073.0,13.289831047345949,,,0.40467625899280574,860,UZB
181,Venezuela,2020-06-09 07:33:02,6.4238,-66.5897,2473.0,22.0,487.0,1964.0,8.696739897108388,,,0.8896077638495754,862,VEN
182,Vietnam,2020-06-09 07:33:02,14.058324,108.277199,332.0,0.0,316.0,16.0,0.34107749441965884,,,0.0,704,VNM
183,West Bank and Gaza,2020-06-09 07:33:02,31.9522,35.2332,473.0,3.0,404.0,66.0,9.271935478306416,,,0.6342494714587738,275,PSE
184,Western Sahara,2020-06-09 07:33:02,24.2155,-12.8858,9.0,1.0,6.0,2.0,1.5067048365225253,,,11.111111111111109,732,ESH
185,Yemen,2020-06-09 07:33:02,15.552727,48.516388,496.0,112.0,23.0,361.0,1.6629803934611609,,,22.580645161290327,887,YEM
186,Zambia,2020-06-09 07:33:02,-13.133897,27.849332,1200.0,10.0,912.0,278.0,6.5274307662616255,,,0.8333333333333334,894,ZMB
187,Zimbabwe,2020-06-09 07:33:02,-19.015438,29.154857,287.0,4.0,46.0,237.0,1.9309790056830665,,,1.3937282229965158,716,ZWE
